,DATE,PRICE,CALCULATED_NAV,INDEX_VALUE,RETURN_OMXS,DISCOUNT/PREMIUM,RETURN,RETURN - OMXS,DISCOUNT/PREMIUM_ADJ,DISCOUNT/PREMIUM_NORM,DAILY_RETURN,VOL_30D,SHARPE_30D,VOL_EXP,SHARPE_EXP,RETURN - OMXS_CAT,DISCOUNT/PREMIUM_ADJ_CAT
0,2016-11-28,309.3,374.0,1472.68149394985,7.8,0.2091820239249918,0.2324603944390558,0.1544603944390558,-0.1722994652406417,0.490041817321428,,,,,,high,medium
1,2016-11-29,308.7,372.0,1467.17810181225,7.61,0.2050534499514091,0.2296728215095563,0.1535728215095563,-0.1701612903225806,0.4792282532735403,-0.0019398642095054,,,,,high,medium
2,2016-11-30,311.5,373.0,1481.14084903734,6.86,0.1974317817014446,0.2343499197431781,0.1657499197431781,-0.1648793565683646,0.4592655740772601,0.0090702947845804,,,,,high,medium
3,2016-12-01,312.2,373.0,1477.95113060148,7.2,0.1947469570787957,0.2367072389493915,0.1647072389493915,-0.1630026809651474,0.4522334794120975,0.0022471910112358,,,,,high,medium
4,2016-12-02,310.3,372.0,1470.08278175541,7.84,0.1988398324202384,0.2439574605220753,0.1655574605220753,-0.1658602150537634,0.4629535415759115,-0.0060858424087122,,,,,high,medium
5,2016-12-05,316.2,374.0,1483.28616856019,7.62,0.1827956989247312,0.2273877292852626,0.1511877292852625,-0.1545454545454545,0.4209307350919643,0.0190138575572025,0.1567761685382114,7.170758808026182,,,high,medium
6,2016-12-06,318.6,374.0,1492.17069893477,7.28,0.1738857501569365,0.2215944758317638,0.1487944758317638,-0.1481283422459892,0.3975937905972199,0.0075901328273246,0.1416835275522728,8.862161630935066,,,high,medium
7,2016-12-07,324.8,375.0,1503.95381258581,6.66,0.1545566502463053,0.2019704433497536,0.1353704433497535,-0.1338666666666666,0.3469669976151752,0.0194601381042058,0.1558013376143389,11.404348019053302,,,high,high
8,2016-12-08,326.9,379.0,1520.14803621574,5.96,0.1593759559498318,0.2006729886815541,0.1410729886815541,-0.137467018469657,0.3595897267281551,0.0064655172413792,0.1442814143743622,12.187119818707188,,,high,medium
9,2016-12-09,333.8,381.0,1534.27294885465,5.83,0.1414020371479927,0.1821449970041941,0.1238449970041941,-0.1238845144356955,0.3125124251225949,0.0211073722851025,0.1542891341731044,13.96084262798502,,,high,high
10,2016-12-12,334.3,382.0,1537.92540271028,5.66,0.142686209991026,0.1881543523781034,0.1315543523781034,-0.1248691099476439,0.3158759315961503,0.0014979029358896,0.1497081586080094,13.201370330244538,,,high,high
11,2016-12-13,338.2,385.0,1550.99848301163,5.6,0.1383796570076877,0.1895328208160852,0.1335328208160852,-0.1215584415584415,0.3045962047924333,0.0116661681124736,0.1431998276305088,14.413046041670956,,,high,high
12,2016-12-14,337.5,383.0,1541.38807128439,6.44,0.1348148148148148,0.2,0.1356,-0.118798955613577,0.2952591674473588,-0.0020697811945593,0.1444043945292409,12.800751902357511,,,high,high
13,2016-12-15,342.5,388.0,1550.51630921426,6.36,0.1328467153284671,0.2040875912408758,0.1404875912408758,-0.1172680412371134,0.2901043197967142,0.0148148148148148,0.142124448095836,14.026250945934835,,,high,high
14,2016-12-16,342.2,388.0,1548.19522963514,6.65,0.1338398597311514,0.200759789596727,0.134259789596727,-0.118041237113402,0.2927055643610469,-0.0008759124087591,0.1415458046143966,12.966232486705904,,,high,high
15,2016-12-19,343.8,385.0,1542.70913908366,7.16,0.1198371146015124,0.2053519488074461,0.1337519488074461,-0.1070129870129869,0.2560295638159486,0.0046756282875513,0.1368149877461267,13.094413174674198,,,high,high
16,2016-12-20,344.9,384.0,1536.72487564366,7.13,0.1133661930994491,0.2029573789504204,0.1316573789504204,-0.1018229166666667,0.2390809213647894,0.003199534613147,0.1330834125884475,12.998878792771269,,,high,high
17,2016-12-21,341.2,382.0,1525.46718314733,8.03,0.1195779601406799,0.2189331770222743,0.1386331770222743,-0.1068062827225131,0.2553507862577798,-0.0107277471730936,0.1455750837870722,10.092051087679474,,,high,high
18,2016-12-22,341.2,381.0,1519.53883878117,8.21,0.1166471277842907,0.2130715123094958,0.1309715123094958,-0.1044619422572178,0.2476743479519078,0.0,0.1429032872086675,9.709585410010993,,,high,high
19,2016-12-23,343.3,382.0,1525.80136402455,7.6,0.1127293912030293,0.2053597436644334,0.1293597436644334,-0.1013089005235601,0.2374130093601085,0.0061547479484174,0.1388971232686535,10.051576668735247,,,high,high
20,2016-12-27,343.8,383.0,1533.31070328142,7.26,0.1140197789412448,0.2012798138452588,0.1286798138452588,-0.102349869451697,0.2407927938917863,0.0014564520827264,0.1359674699439964,9.889715725517089,0.1359674699439964,9.889715725517089,high,high
21,2016-12-28,341.7,383.0,1527.30402144374,7.54,0.1208662569505414,0.2071992976294996,0.1317992976294996,-0.1078328981723237,0.2587250942283445,-0.006108202443281,0.138327295878225,8.728203826673262,0.138327295878225,8.728203826673262,high,high
22,2016-12-29,340.8,381.0,1518.3653212244,7.9,0.1179577464788732,0.2068661971830986,0.1278661971830986,-0.105511811023622,0.2511071214196744,-0.0026338893766461,0.1373126568583156,8.173313086277949,0.1373126568583156,8.173313086277949,high,high
23,2016-12-30,340.5,380.0,1517.19708986607,7.89,0.1160058737151248,0.198237885462555,0.119337885462555,-0.1039473684210526,0.2459947748130312,-0.0008802816901408,0.1353123924223081,7.862242825082247,0.1353123924223081,7.862242825082247,high,high
24,2017-01-02,341.9,382.0,1526.82658186229,7.72,0.1172857560690261,0.2018133957297455,0.1246133957297455,-0.1049738219895288,0.2493470436342345,0.0041116005873713,0.1323386110429725,8.03018280648673,0.1323386110429725,8.03018280648673,high,high
25,2017-01-03,343.2,385.0,1534.69689963887,7.31,0.1217948717948718,0.1920163170163171,0.1189163170163171,-0.1085714285714286,0.2611573229250419,0.0038022813688214,0.129558916277625,8.170198825990614,0.129558916277625,8.170198825990614,high,high
26,2017-01-04,342.7,384.0,1530.92556801771,8.92,0.1205135687189962,0.2086372920922089,0.1194372920922089,-0.1075520833333333,0.2578013329477781,-0.0014568764568764,0.1281573317947433,7.83169568250929,0.1281573317947433,7.83169568250929,high,high
27,2017-01-05,340.0,383.0,1522.10278065845,9.16,0.1264705882352941,0.213235294117647,0.121635294117647,-0.1122715404699739,0.2734039629324127,-0.0078786110300553,0.1307889669339399,6.827654237150642,0.1307889669339399,6.827654237150642,high,high
28,2017-01-09,341.6,383.0,1509.82064359877,9.32,0.1211943793911006,0.2057962529274003,0.1125962529274003,-0.1080939947780678,0.259584512770737,0.0047058823529413,0.1283914560202773,7.036625369910286,0.1283914560202773,7.036625369910286,high,high
29,2017-01-10,339.7,386.0,1510.09174757427,9.25,0.1362967324109509,0.2110685899322931,0.1185685899322931,-0.1199481865284974,0.2991406071265425,-0.0055620608899298,0.1289290704834155,6.390777426229245,0.1289290704834155,6.390777426229245,high,high
30,2017-01-11,340.0,386.0,1511.87615189922,9.72,0.1352941176470588,0.2291176470588234,0.1319176470588234,-0.1191709844559585,0.2965145577850319,0.0008831321754489,0.1268753373825648,6.3362201589440215,0.1268753373825648,6.3362201589440215,high,high
31,2017-01-12,338.5,383.0,1503.30747845734,10.76,0.1314623338257016,0.2336779911373708,0.1260779911373708,-0.1161879895561357,0.2864783467264352,-0.0044117647058823,0.1279416327928814,6.1211201477666215,0.126611763225298,5.861336189991828,high,high
32,2017-01-13,343.4,386.0,1522.49013166678,9.18,0.1240535818287711,0.1988934187536401,0.1070934187536401,-0.1103626943005181,0.2670733379397813,0.0144756277695716,0.1310519713578821,6.3223078196813285,0.12868747681578,6.4724138916436145,medium,high
33,2017-01-16,340.1,385.0,1512.96890861372,10.49,0.1320199941193765,0.219935313143193,0.115035313143193,-0.1166233766233765,0.2879389709858534,-0.0096097845078624,0.1362718319185412,5.349251556080275,0.1315928559659482,5.580050986093247,high,high
34,2017-01-17,339.7,384.0,1507.32014006883,10.93,0.1304091845746247,0.2225493082131293,0.1132493082131293,-0.1153645833333333,0.283719937418191,-0.001176124669215,0.1341878646515379,5.7396690822378025,0.1300612017222769,5.4126885638001205,high,high
35,2017-01-18,341.5,386.0,1515.99220958619,10.34,0.130307467057101,0.2149341142020497,0.1115341142020497,-0.1152849740932642,0.2834535188200085,0.0052987930526935,0.1256297611222566,5.213632424857247,0.1283104723310431,5.627119435158195,high,high
36,2017-01-19,342.7,386.0,1513.91670732568,10.82,0.1263495768894076,0.2156405018967027,0.1074405018967027,-0.1121761658031088,0.2730870099245129,0.0035139092240117,0.1247751472760067,4.974925947978453,0.1264758300485769,5.744652172100305,medium,high
37,2017-01-20,346.4,387.0,1525.48873608317,9.88,0.1172055427251732,0.2043879907621247,0.1055879907621247,-0.1049095607235142,0.2491369487838581,0.0107966151152611,0.116791110709695,4.69191123715904,0.1264053357784162,6.174237840528451,medium,high
38,2017-01-23,343.9,383.0,1504.68796694369,11.0,0.113695841814481,0.1988950276243095,0.0888950276243095,-0.102088772845953,0.2399443375264254,-0.007217090069284,0.119131772344177,3.6349633251359776,0.1274830967194959,5.585505776000594,medium,high
39,2017-01-24,349.3,385.0,1522.85248532038,9.2,0.1022044088176352,0.17348983681649,0.08148983681649,-0.0927272727272727,0.2098459676029314,0.0157022390229719,0.1123229219070248,3.451089923110271,0.1299831789027436,6.1181786341328745,medium,high
40,2017-01-25,356.5,390.0,1545.98668952855,6.29,0.093969144460028,0.1338008415147265,0.0709008415147264,-0.0858974358974359,0.1882761570213389,0.0206126538791868,0.1251885691426429,4.378997344611381,0.1355812661610533,6.676722716426177,medium,high
41,2017-01-26,357.0,393.0,1553.88960123916,5.2,0.1008403361344537,0.1330532212885154,0.0810532212885154,-0.0916030534351145,0.2062731874081378,0.0014025245441795,0.1219185685148124,3.789298147980899,0.1339857936962853,6.655779702994365,medium,high
42,2017-01-27,354.5,390.0,1538.76139238134,5.96,0.1001410437235543,0.1306064880112835,0.0710064880112835,-0.091025641025641,0.2044416002010661,-0.0070028011204481,0.1241094983609235,3.3885274217868155,0.1348372642910595,6.144668303838426,medium,high
43,2017-01-30,351.5,389.0,1528.88986015867,6.51,0.1066856330014224,0.1388335704125178,0.0737335704125178,-0.0964010282776349,0.2215831933458616,-0.008462623413258,0.1209812725026341,1.8599404083758768,0.13622546063694,5.576543514935356,medium,high
44,2017-01-31,348.9,398.0,1536.75141048043,5.87,0.1407280022929206,0.1464603038119805,0.0877603038119805,-0.1233668341708543,0.3107469925246885,-0.0073968705547653,0.1232644430156091,1.3811112498709193,0.1369183427889594,5.11281495222834,medium,high
45,2017-02-01,350.9,401.0,1547.31011214045,5.58,0.1427757195782275,0.146765460245084,0.090965460245084,-0.1249376558603491,0.3161103751740774,0.00573230151906,0.1236000008352356,1.4491744570566485,0.1355339489942853,5.287108069461426,medium,high
46,2017-02-02,352.9,402.0,1551.85021400057,4.24,0.1391328988381978,0.1365826013034855,0.0941826013034855,-0.1221393034825871,0.3065690963598091,0.0056996295240809,0.1242481394342049,1.61063789176836,0.1341861673897867,5.456812901592902,medium,high
47,2017-02-03,353.7,404.0,1557.3131673146,4.25,0.1422109132032796,0.1371218546791066,0.0946218546791065,-0.1245049504950495,0.3146310338932299,0.0022669311419665,0.1193899322528413,2.5904534273960453,0.1327278486886909,5.490965835614604,medium,high
48,2017-02-06,353.2,403.0,1548.89897469388,5.67,0.1409966024915062,0.153454133635334,0.096754133635334,-0.1235732009925558,0.3114505103662643,-0.0014136273678257,0.1195863437189755,2.486902601605568,0.1316783548838462,5.363061538389581,medium,high
49,2017-02-07,354.0,405.0,1550.94165553569,4.29,0.1440677966101695,0.1274011299435029,0.0845011299435029,-0.1259259259259259,0.3194945843051505,0.0022650056625141,0.1187084617700819,2.230049569864358,0.130305184596096,5.398369192270895,medium,high
50,2017-02-08,354.6,402.0,1549.23901735841,4.09,0.1336717428087985,0.1238014664410602,0.0829014664410602,-0.1179104477611939,0.2922652323919388,0.0016949152542373,0.1187175596142511,2.246751412486949,0.1289921762322727,5.41047664673129,medium,high
51,2017-02-09,356.9,404.0,1557.49699164885,3.67,0.1319697394228075,0.1123564023536005,0.0756564023536005,-0.1165841584158416,0.2878073438469107,0.006486181613085,0.1177183324277999,3.164517056442975,0.1279627236486792,5.597520991941703,medium,high
52,2017-02-10,355.5,406.0,1562.72731741443,2.94,0.1420534458509142,0.110548523206751,0.081148523206751,-0.1243842364532019,0.3142185952858195,-0.0039226674138413,0.1181679398019047,3.0608635127065695,0.1275742049421654,5.357585271512207,medium,high
53,2017-02-13,357.0,408.0,1572.18051545013,3.09,0.1428571428571428,0.1098039215686274,0.0789039215686274,-0.125,0.316323639087277,0.0042194092827003,0.1182239038997892,3.421755889791288,0.1263843103565651,5.464726948434764,medium,high
54,2017-02-14,357.7,407.0,1569.75453119332,2.79,0.137824993010903,0.1079116578138105,0.0800116578138105,-0.1211302211302211,0.3031434284360769,0.0019607843137254,0.1179917998613733,3.2753672987330527,0.1251976646275174,5.487451816866517,medium,high
55,2017-02-15,358.7,410.0,1574.02262863464,2.29,0.1430164482854753,0.089768608865347,0.066868608865347,-0.1251219512195122,0.3167408919846388,0.0027956388034666,0.1178596060108864,3.20729635903162,0.1240330987939596,5.541537418985549,medium,high
56,2017-02-16,359.7,409.0,1576.32737521023,1.01,0.1370586599944398,0.0664442591048096,0.0563442591048096,-0.1205378973105134,0.3011362484246347,0.0027878449958183,0.1175759422268536,3.5182907115480817,0.1229004193351971,5.594818487137467,medium,high
57,2017-02-17,359.8,407.0,1570.58752499517,2.94,0.13118399110617,0.0958866036687048,0.0664866036687048,-0.1159705159705159,0.2857493112666912,0.0002780094523213,0.1141639886510544,4.223590671520956,0.1219070943187343,5.551533988408888,medium,high
58,2017-02-20,359.1,409.0,1576.32745257781,2.35,0.1389585073795599,0.0921748816485657,0.0686748816485657,-0.12200488997555,0.3061123301205575,-0.0019455252918287,0.1143776320277198,3.7272159400085414,0.1212179827031524,5.417099995489497,medium,high
59,2017-02-21,362.7,413.0,1590.08642002961,0.34,0.1386821064240419,0.0678246484698098,0.0644246484698098,-0.1217917675544794,0.3053883805305741,0.0100250626566416,0.114708740772142,4.857885870896768,0.1211427683041003,5.682049328952269,medium,high
60,2017-02-22,361.5,412.0,1582.1321802882,1.08,0.1396957123098202,0.0688796680497924,0.0580796680497924,-0.1225728155339805,0.3080432178267719,-0.0033085194375516,0.1157688882825305,4.50926069396244,0.1207479017513205,5.490539167476153,medium,high
61,2017-02-23,364.9,414.0,1588.30350622567,1.42,0.1345574129898603,0.0627569197040286,0.0485569197040285,-0.1185990338164251,0.294584980394396,0.0094052558782848,0.1159708511669125,5.502202182725744,0.1205265304329737,5.732822497606238,low,high
62,2017-02-24,358.9,411.0,1569.85867722729,3.16,0.1451657843410421,0.0849818891056004,0.0533818891056004,-0.1267639902676399,0.3223704345933029,-0.0164428610578241,0.1227252882608657,3.0831442291562356,0.1256362509486942,4.879009486250301,medium,high
63,2017-02-27,357.5,411.0,1564.63204183327,3.78,0.1496503496503496,0.0925874125874126,0.0547874125874126,-0.1301703163017031,0.3341164114147015,-0.0039008080245193,0.1193014320945954,3.573596387301202,0.1252610099360723,4.691383055452783,medium,high
64,2017-02-28,358.0,412.0,1570.17238543533,3.16,0.1508379888268156,0.0877094972067038,0.0561094972067038,-0.1310679611650485,0.3372270768363873,0.0013986013986013,0.1189965793700773,3.764502039252799,0.1242766989305021,4.6989692134605745,medium,high
