Investor Date;PRIS;SUBSTANSVÄRDE;BERÄKNAT_SUBSTANSVÄRDE;Rabatt/Premie;Genomsnittsrabatt senaste 100 handelsdagarna;Nuvarande rabatt minus snitt;Avkastning 200 handelsdagar;OMX Date;Index Value;Avkastning OMXS#=
2019-03-08;406,3;486;522;1,284764952;1,286920967;-0,22%;27,84%;2019-03-08;1 558,63142727214;15,21%
2019-03-11;407,9;486;524;1,284628585;1,286246288;-0,16%;26,89%;2019-03-11;1 569,92541353094;14,53%
2019-03-12;408,8;486;523;1,279354207;1,285472547;-0,61%;25,05%;2019-03-12;1 565,55808702150;13,18%
2019-03-13;409,9;486;523;1,275920956;1,284664115;-0,87%;27,59%;2019-03-13;1 572,79724651484;14,99%
2019-03-14;414,9;486;527;1,270185587;1,283710585;-1,35%;24,66%;2019-03-14;1 590,76207458422;12,23%
2019-03-15;417,9;486;528;1,263460158;1,28290655;-1,94%;23,95%;2019-03-15;1 595,75865768007;12,60%
2019-03-18;420,1;486;530;1,26160438;1,282255904;-2,07%;23,26%;2019-03-18;1 605,01305771155;11,86%
2019-03-19;422,4;486;534;1,264204545;1,281622629;-1,74%;23,58%;2019-03-19;1 615,13781615863;11,24%
2019-03-20;421,9;486;530;1,256221854;1,280905851;-2,47%;23,25%;2019-03-20;1 605,98971592153;11,14%
2019-03-21;419,8;486;531;1,264888042;1,280238603;-1,54%;24,01%;2019-03-21;1 605,02618502636;11,56%
2019-03-22;416;486;524;1,259615385;1,27965862;-2,00%;25,58%;2019-03-22;1 576,86960472049;13,70%
2019-03-25;415;486;523;1,260240964;1,279045119;-1,88%;26,02%;2019-03-25;1 573,66212091926;13,58%
2019-03-26;413,2;486;526;1,272991288;1,278642469;-0,57%;28,94%;2019-03-26;1 574,16092962763;15,13%
2019-03-27;416,5;486;523;1,255702281;1,278147526;-2,24%;29,22%;2019-03-27;1 565,84943345689;16,61%
2019-03-28;418,7;486;523;1,249104371;1,277786122;-2,87%;28,16%;2019-03-28;1 559,31530416763;16,80%
2019-03-29;418,7;486;521;1,244327681;1,277226036;-3,29%;28,25%;2019-03-29;1 553,41919595131;17,52%
2019-04-01;427,85;486;530;1,238751899;1,276691337;-3,79%;25,37%;2019-04-01;1 580,32606817433;14,64%
2019-04-02;430;486;534;1,241860465;1,276064969;-3,42%;23,49%;2019-04-02;1 593,95305760159;12,64%
2019-04-03;434,8;486;539;1,239650414;1,275480307;-3,58%;24,10%;2019-04-03;1 622,37863908216;11,74%
2019-04-04;432,5;486;537;1,241618497;1,274929168;-3,33%;21,80%;2019-04-04;1 616,24459534069;9,60%
2019-04-05;432,7;486;540;1,247977814;1,274466127;-2,65%;24,15%;2019-04-05;1 622,26641184458;10,11%
2019-04-08;431,5;486;539;1,249130939;1,274136308;-2,50%;24,87%;2019-04-08;1 624,51754842371;10,29%
2019-04-09;429,6;486;538;1,252327747;1,273790484;-2,15%;24,30%;2019-04-09;1 616,55551097062;10,60%
2019-04-10;429,5;486;538;1,252619325;1,273431944;-2,08%;22,98%;2019-04-10;1 628,54602575165;9,50%
2019-04-11;429,1;486;539;1,256117455;1,273017984;-1,69%;24,03%;2019-04-11;1 627,02768227853;9,58%
2019-04-12;430,7;486;542;1,258416531;1,272617438;-1,42%;27,10%;2019-04-12;1 641,20932936550;10,96%
2019-04-15;434;486;541;1,246543779;1,272135806;-2,56%;28,02%;2019-04-15;1 642,62860986119;12,46%
2019-04-16;435,4;486;542;1,244832338;1,271637776;-2,68%;27,29%;2019-04-16;1 647,52289651212;12,41%
2019-04-17;436,6;486;547;1,252863033;1,270906762;-1,80%;26,75%;2019-04-17;1 660,14087759057;11,43%
2019-04-18;438,7;486;549;1,251424664;1,270236225;-1,88%;26,65%;2019-04-18;1 670,74395738308;11,21%
2019-04-23;436,4;486;549;1,258020165;1,26958801;-1,16%;28,60%;2019-04-23;1 672,17970531083;12,67%
2019-04-24;437;532;561;1,28375286;1,269218663;1,45%;27,92%;2019-04-24;1 680,71571882743;12,44%
2019-04-25;443,8;532;563;1,268589455;1,26878553;-0,02%;26,32%;2019-04-25;1 689,41656967053;11,46%
2019-04-26;449,8;532;562;1,249444197;1,268212607;-1,88%;25,21%;2019-04-26;1 689,03739376354;11,64%
2019-04-29;450,5;532;563;1,249722531;1,267764302;-1,80%;25,24%;2019-04-29;1 693,30938594340;11,52%
2019-04-30;452,7;532;558;1,232604374;1,267315364;-3,47%;23,97%;2019-04-30;1 676,14198891309;12,09%
2019-05-02;449,8;532;554;1,231658515;1,266969245;-3,53%;25,66%;2019-05-02;1 665,44894816368;14,10%
2019-05-03;452,4;532;555;1,226790451;1,266513072;-3,97%;24,58%;2019-05-03;1 672,33032553686;13,55%
2019-05-06;442,8;532;553;1,248870822;1,266273686;-1,74%;26,29%;2019-05-06;1 649,22009409160;13,94%
2019-05-07;439,3;532;546;1,24288641;1,266028942;-2,31%;20,83%;2019-05-07;1 617,84852740354;11,15%
2019-05-08;443,7;532;548;1,23506874;1,265493734;-3,04%;16,66%;2019-05-08;1 623,37264134915;8,98%
2019-05-09;426,8;532;534;1,251171509;1,265112852;-1,39%;20,99%;2019-05-09;1 596,69423232711;11,61%
2019-05-10;430,5;532;535;1,242740999;1,264573265;-2,18%;14,94%;2019-05-10;1 603,36572646137;7,37%
2019-05-13;421,7;532;528;1,252074935;1,264187017;-1,21%;13,18%;2019-05-13;1 573,84280806574;6,04%
2019-05-14;431,6;532;531;1,230305839;1,263668173;-3,34%;12,47%;2019-05-14;1 590,82196744515;5,55%
2019-05-15;432,9;532;533;1,231231231;1,263266553;-3,20%;14,16%;2019-05-15;1 593,32037203438;6,35%
2019-05-16;440;532;540;1,227272727;1,26289165;-3,56%;14,05%;2019-05-16;1 615,37680449747;5,50%
2019-05-17;438,8;532;538;1,226071103;1,262396354;-3,63%;13,76%;2019-05-17;1 606,85694380605;4,75%
2019-05-20;434,9;532;534;1,227868476;1,261852565;-3,40%;11,04%;2019-05-20;1 588,89879399748;2,52%
2019-05-21;435,7;532;538;1,234794583;1,261554756;-2,68%;5,07%;2019-05-21;1 602,91003635804;-3,77%
2019-05-22;434,6;532;538;1,237919926;1,261210129;-2,33%;5,11%;2019-05-22;1 595,64083126681;-3,88%
2019-05-23;426,1;532;531;1,246186341;1,260852323;-1,47%;6,24%;2019-05-23;1 561,16650506915;-3,15%
2019-05-24;431,5;532;531;1,230590962;1,260247054;-2,97%;-7,30%;2019-05-24;1 571,51552163948;-13,96%
2019-05-27;430,1;532;530;1,232271565;1,259715658;-2,74%;-5,00%;2019-05-27;1 568,23242620571;-12,23%
2019-05-28;425,4;532;530;1,245886225;1,259220967;-1,33%;-8,60%;2019-05-28;1 565,11517338543;-15,08%
2019-05-29;420;532;524;1,247619048;1,258737037;-1,11%;-7,14%;2019-05-29;1 538,74912983516;-10,79%
2019-05-31;410,3;532;517;1,260053619;1,258466653;0,16%;-4,61%;2019-05-31;1 510,46163743061;-11,47%
2019-06-03;415,9;532;520;1,250300553;1,258104577;-0,78%;-0,89%;2019-06-03;1 518,23275486499;-9,07%
2019-06-04;420,8;532;525;1,247623574;1,25790352;-1,03%;-4,44%;2019-06-04;1 537,30673123694;-11,82%
2019-06-05;422,2;532;525;1,243486499;1,257642983;-1,42%;-9,24%;2019-06-05;1 542,00329450433;-16,20%
2019-06-07;425,6;532;532;1,25;1,25753307;-0,75%;-1,34%;2019-06-07;1 566,13583210721;-11,64%
2019-06-10;432;532;533;1,233796296;1,257334943;-2,35%;0,81%;2019-06-10;1 574,48385937560;-8,12%
2019-06-11;437,3;532;538;1,230276698;1,257123889;-2,68%;0,96%;2019-06-11;1 593,36282912045;-7,69%
2019-06-12;438,3;532;539;1,229751312;1,256936023;-2,72%;-0,62%;2019-06-12;1 593,59848263616;-10,94%
2019-06-13;440,1;532;541;1,229266076;1,256673994;-2,74%;1,86%;2019-06-13;1 598,11728697699;-9,32%
2019-06-14;439,4;532;536;1,219845244;1,25628712;-3,64%;4,03%;2019-06-14;1 589,60219835505;-6,74%
2019-06-17;442,1;532;537;1,214657317;1,255968056;-4,13%;-0,07%;2019-06-17;1 586,52605060016;-10,12%
2019-06-18;449,5;532;544;1,210233593;1,255586668;-4,54%;-2,25%;2019-06-18;1 609,43220382633;-11,32%
2019-06-19;453,9;532;546;1,20290813;1,255185436;-5,23%;-4,43%;2019-06-19;1 612,39920557346;-12,89%
2019-06-20;455;532;551;1,210989011;1,254932134;-4,39%;-0,31%;2019-06-20;1 628,29308043142;-10,26%
2019-06-24;451;532;547;1,21286031;1,254530354;-4,17%;4,63%;2019-06-24;1 610,94122844190;-6,21%
2019-06-25;448,4;532;544;1,213202498;1,254020054;-4,08%;5,62%;2019-06-25;1 607,29389071728;-6,71%
2019-06-26;447,4;532;543;1,213679034;1,253298859;-3,96%;3,42%;2019-06-26;1 604,22740203589;-6,57%
2019-06-27;444,4;532;543;1,221872187;1,252728162;-3,09%;8,98%;2019-06-27;1 616,93599741668;-5,02%
2019-06-28;446,1;532;545;1,221699171;1,252129977;-3,04%;5,49%;2019-06-28;1 622,43045870473;-8,74%
2019-07-01;449,3;532;549;1,221900734;1,251586851;-2,97%;4,41%;2019-07-01;1 641,99716080220;-9,63%
2019-07-02;451,9;532;550;1,217083426;1,25104263;-3,40%;7,52%;2019-07-02;1 647,01864962231;-6,83%
2019-07-03;456;532;551;1,208333333;1,250378764;-4,20%;6,69%;2019-07-03;1 648,84050381959;-6,53%
2019-07-04;458,4;532;552;1,204188482;1,249727578;-4,55%;4,32%;2019-07-04;1 652,24977737206;-9,61%
2019-07-05;456,2;532;548;1,201227532;1,249062857;-4,78%;5,61%;2019-07-05;1 634,94276157014;-6,56%
2019-07-08;461,5;532;548;1,187432286;1,24826837;-6,08%;5,55%;2019-07-08;1 642,06822829669;-6,10%
2019-07-09;461;532;544;1,180043384;1,247338614;-6,73%;3,41%;2019-07-09;1 630,87982139316;-7,16%
2019-07-10;460,1;532;544;1,182351663;1,246532158;-6,42%;4,28%;2019-07-10;1 622,44743583931;-5,11%
2019-07-11;455,8;532;541;1,18692409;1,245777368;-5,89%;6,30%;2019-07-11;1 613,20536594970;-2,77%
2019-07-12;456,2;532;545;1,194651469;1,24516318;-5,05%;9,10%;2019-07-12;1 625,61563153308;-1,52%
2019-07-15;456,6;532;547;1,197985107;1,244356975;-4,64%;7,58%;2019-07-15;1 632,90573179486;-3,37%
2019-07-16;454,8;532;546;1,200527704;1,243530709;-4,30%;2,02%;2019-07-16;1 630,56745047778;-7,69%
2019-07-17;457,9;551;552;1,205503385;1,24279926;-3,73%;3,45%;2019-07-17;1 598,06073055981;-3,75%
2019-07-18;455,8;551;550;1,206669592;1,242140449;-3,55%;2,41%;2019-07-18;1 577,40740785170;-3,55%
2019-07-19;460,9;551;555;1,204165763;1,241574509;-3,74%;3,10%;2019-07-19;1 605,41929746313;-4,22%
2019-07-22;455,9;551;556;1,219565694;1,241166589;-2,16%;6,08%;2019-07-22;1 600,87606499392;-2,35%
2019-07-23;463,6;551;562;1,212251941;1,240645159;-2,84%;2,78%;2019-07-23;1 624,76665281367;-4,20%
2019-07-24;461,1;551;558;1,210149642;1,239940598;-2,98%;4,12%;2019-07-24;1 613,05947977548;-2,67%
2019-07-25;457,5;551;559;1,221857923;1,23931519;-1,75%;1,77%;2019-07-25;1 607,20141220344;-5,26%
2019-07-26;459,7;551;560;1,218185773;1,238550318;-2,04%;-2,59%;2019-07-26;1 610,63939628682;-8,33%
2019-07-29;462,3;551;559;1,209171534;1,237849046;-2,87%;-0,78%;2019-07-29;1 614,30020484223;-7,48%
2019-07-30;459,8;551;557;1,211396259;1,237103265;-2,57%;4,33%;2019-07-30;1 600,25903275819;-2,13%
2019-07-31;460,6;551;559;1,21363439;1,236503096;-2,29%;4,75%;2019-07-31;1 599,77520999466;-2,47%
2019-08-01;466,9;551;561;1,201542086;1,235758979;-3,42%;2,96%;2019-08-01;1 612,90752968228;-3,50%
2019-08-02;455;551;552;1,213186813;1,235038819;-2,19%;5,25%;2019-08-02;1 568,70251619200;-0,84%
2019-08-05;442;551;543;1,228506787;1,234531703;-0,60%;11,40%;2019-08-05;1 535,09660733089;3,49%
2019-08-06;439;551;537;1,223234624;1,233922492;-1,07%;12,78%;2019-08-06;1 523,03165186508;5,49%
2019-08-07;440,2;551;538;1,22217174;1,233304108;-1,11%;11,22%;2019-08-07;1 528,18896850586;6,23%
2019-08-08;444,9;551;544;1,222746685;1,232743637;-1,00%;12,61%;2019-08-08;1 550,61782101192;6,90%
2019-08-09;439,6;551;541;1,23066424;1,232295551;-0,16%;13,97%;2019-08-09;1 531,51636489037;6,42%
2019-08-12;440;551;542;1,231818182;1,231915675;-0,01%;13,82%;2019-08-12;1 533,06229734142;7,59%
2019-08-13;439,5;551;543;1,235494881;1,231638792;0,39%;14,99%;2019-08-13;1 538,53294129414;8,35%
2019-08-14;432,6;551;535;1,236708276;1,231392295;0,53%;20,11%;2019-08-14;1 500,06017344448;13,99%
2019-08-15;429,8;551;533;1,24011168;1,231153752;0,90%;20,06%;2019-08-15;1 495,71420817633;13,69%
2019-08-16;436,2;551;538;1,233379184;1,230927587;0,25%;20,91%;2019-08-16;1 519,41339911512;13,89%
2019-08-19;441;551;543;1,231292517;1,230594958;0,07%;18,05%;2019-08-19;1 538,97206383953;11,61%
2019-08-20;443,2;551;542;1,222924188;1,230231679;-0,73%;16,56%;2019-08-20;1 534,34111416233;10,58%
2019-08-21;447,7;551;545;1,217333036;1,229806848;-1,25%;14,81%;2019-08-21;1 543,47438664683;9,64%
2019-08-22;446,4;551;542;1,214157706;1,229224337;-1,51%;8,51%;2019-08-22;1 535,51367575383;4,79%
2019-08-23;442,7;551;538;1,215269934;1,228824017;-1,36%;9,10%;2019-08-23;1 522,84914598988;5,66%
2019-08-26;440;551;535;1,215909091;1,228495351;-1,26%;12,14%;2019-08-26;1 520,84952231100;6,27%
2019-08-27;443,9;551;537;1,209731922;1,228152819;-1,84%;15,39%;2019-08-27;1 530,81447146217;9,21%
2019-08-28;444,7;551;536;1,205306949;1,227821681;-2,25%;15,72%;2019-08-28;1 529,13200218671;9,70%
2019-08-29;450,7;551;544;1,207011316;1,227476639;-2,05%;11,74%;2019-08-29;1 558,73676784076;7,00%
2019-08-30;460,2;551;549;1,192959583;1,227014354;-3,41%;6,74%;2019-08-30;1 576,98058492165;5,12%
2019-09-02;462,2;551;549;1,18779749;1,226481473;-3,87%;6,92%;2019-09-02;1 570,18531050769;7,21%
2019-09-03;462,3;551;546;1,181051265;1,225818834;-4,48%;4,33%;2019-09-03;1 568,65803720285;4,73%
2019-09-04;463,2;551;547;1,180915371;1,225143432;-4,42%;5,16%;2019-09-04;1 581,27501822234;5,04%
2019-09-05;461,7;551;549;1,189083821;1,224517255;-3,54%;5,76%;2019-09-05;1 597,34138305725;3,78%
2019-09-06;463,4;551;550;1,186879586;1,223866366;-3,70%;6,56%;2019-09-06;1 601,95271957930;4,34%
2019-09-09;461;551;552;1,197396963;1,223284975;-2,59%;6,66%;2019-09-09;1 610,69579116656;3,33%
2019-09-10;460;551;555;1,206521739;1,222771165;-1,62%;7,15%;2019-09-10;1 624,98030304292;3,08%
2019-09-11;464,1;551;558;1,202327085;1,222333376;-2,00%;8,25%;2019-09-11;1 637,61705244915;4,04%
2019-09-12;468,5;551;560;1,195304162;1,221842998;-2,65%;6,25%;2019-09-12;1 651,44973323893;2,65%
2019-09-13;473,3;551;565;1,193746038;1,221257681;-2,75%;7,63%;2019-09-13;1 665,34540844247;3,94%
2019-09-16;467,3;551;563;1,204793495;1,220795987;-1,60%;8,50%;2019-09-16;1 655,01369137001;3,95%
2019-09-17;468;551;561;1,198717949;1,220208836;-2,15%;8,16%;2019-09-17;1 649,32526673378;3,83%
2019-09-18;471,5;551;563;1,194061506;1,219320803;-2,53%;6,55%;2019-09-18;1 655,10914707476;2,58%
2019-09-19;477,1;551;566;1,186334102;1,218506393;-3,22%;6,10%;2019-09-19;1 664,63894509320;2,82%
2019-09-20;478,8;551;569;1,188387636;1,217901873;-2,95%;7,64%;2019-09-20;1 666,88994005486;4,55%
2019-09-23;470,6;551;561;1,192095198;1,217331305;-2,52%;8,54%;2019-09-23;1 637,65785695354;6,16%
2019-09-24;471,1;551;578;1,226915729;1,217274982;0,96%;10,30%;2019-09-24;1 633,08960580234;8,25%
2019-09-25;467,7;551;574;1,227282446;1,217231655;1,01%;10,20%;2019-09-25;1 620,67293004155;8,26%
2019-09-26;474,5;551;576;1,213909378;1,217104119;-0,32%;9,34%;2019-09-26;1 631,61374839772;8,49%
2019-09-27;477,2;551;578;1,211232188;1,21673146;-0,55%;10,06%;2019-09-27;1 646,59548816981;8,38%
2019-09-30;481,1;551;576;1,197256288;1,216279676;-1,90%;9,21%;2019-09-30;1 647,67099094365;7,75%
2019-10-01;478,6;551;572;1,195152528;1,215884466;-2,07%;10,95%;2019-10-01;1 635,64164182901;8,82%
2019-10-02;464;551;562;1,211206897;1,215488777;-0,43%;14,83%;2019-10-02;1 593,31534599925;11,79%
2019-10-03;459,4;551;560;1,21898128;1,215253532;0,37%;13,80%;2019-10-03;1 588,40681250642;10,19%
2019-10-04;463,2;551;561;1,211139896;1,214848235;-0,37%;13,43%;2019-10-04;1 593,97713092834;10,44%
2019-10-07;467,7;551;567;1,212315587;1,214670113;-0,24%;11,78%;2019-10-07;1 617,99470175629;8,42%
2019-10-08;466,4;551;564;1,209262436;1,214452601;-0,52%;12,86%;2019-10-08;1 605,68877624961;9,65%
2019-10-09;470,6;551;568;1,206969826;1,214251582;-0,73%;9,26%;2019-10-09;1 619,99896892659;6,19%
2019-10-10;470,6;551;570;1,21121972;1,214104538;-0,29%;9,77%;2019-10-10;1 630,03308575435;4,74%
2019-10-11;474,4;551;575;1,212057336;1,213947992;-0,19%;12,48%;2019-10-11;1 653,28066207578;5,63%
2019-10-14;476,5;551;576;1,208814271;1,213690762;-0,49%;10,22%;2019-10-14;1 652,57701122879;4,94%
2019-10-15;479;551;579;1,208768267;1,213402131;-0,46%;11,11%;2019-10-15;1 670,21111432408;4,51%
2019-10-16;478,6;551;579;1,209778521;1,213041658;-0,33%;10,74%;2019-10-16;1 677,19191139101;3,69%
2019-10-17;480,6;551;581;1,208905535;1,212826951;-0,39%;11,03%;2019-10-17;1 682,87312260683;3,42%
2019-10-18;484,2;596;600;1,239157373;1,212895127;2,63%;10,12%;2019-10-18;1 697,91135237172;3,00%
2019-10-21;488,4;596;611;1,251023751;1,212945994;3,81%;11,10%;2019-10-21;1 724,35673846011;3,59%
2019-10-22;490,1;596;609;1,24260355;1,212896335;2,97%;11,16%;2019-10-22;1 728,21603205107;3,52%
2019-10-23;489,8;596;613;1,251531237;1,212811955;3,87%;10,74%;2019-10-23;1 725,87363766295;3,53%
2019-10-24;492,2;596;621;1,261682243;1,212924645;4,88%;8,94%;2019-10-24;1 736,98361808668;0,99%
2019-10-25;493;596;620;1,257606491;1,213023486;4,46%;10,43%;2019-10-25;1 747,30484130038;1,50%
2019-10-28;493,7;596;623;1,261899939;1,213205797;4,87%;10,19%;2019-10-28;1 760,31065542729;-0,01%
2019-10-29;494,6;596;622;1,257581884;1,213280865;4,43%;11,20%;2019-10-29;1 742,32082659031;1,89%
2019-10-30;498,7;596;623;1,249248045;1,213433853;3,58%;9,93%;2019-10-30;1 746,80972427091;0,29%
2019-10-31;494,5;596;619;1,251769464;1,213646653;3,81%;11,18%;2019-10-31;1 733,68048514803;1,12%
2019-11-01;496,3;596;621;1,251259319;1,213859603;3,74%;12,23%;2019-11-01;1 737,51284580871;2,93%
2019-11-04;504,8;596;629;1,246038035;1,214025662;3,20%;10,18%;2019-11-04;1 771,03325891164;0,86%
2019-11-05;504,2;596;627;1,243554145;1,214260404;2,93%;11,66%;2019-11-05;1 769,52758101401;1,63%
2019-11-06;506;596;626;1,23715415;1,214483145;2,27%;10,87%;2019-11-06;1 762,79334635786;1,77%
2019-11-07;506,6;596;627;1,23766285;1,214754722;2,29%;9,00%;2019-11-07;1 763,81202922583;0,72%
2019-11-08;509,2;596;626;1,229379419;1,215016814;1,44%;8,29%;2019-11-08;1 772,55531501767;-0,35%
2019-11-11;506,2;596;627;1,238640853;1,215290594;2,34%;9,60%;2019-11-11;1 763,50426647534;0,34%
2019-11-12;513,6;596;631;1,228582555;1,21544626;1,31%;9,31%;2019-11-12;1 774,71783601697;0,46%
2019-11-13;511,4;596;631;1,233867814;1,215650867;1,82%;8,33%;2019-11-13;1 766,59879286260;-0,34%
2019-11-14;514;596;630;1,225680934;1,215769698;0,99%;6,85%;2019-11-14;1 757,41868342286;0,26%
2019-11-15;510;596;623;1,221568627;1,215766692;0,58%;10,12%;2019-11-15;1 756,86476045188;2,41%
2019-11-18;508;596;621;1,222440945;1,215774036;0,67%;9,72%;2019-11-18;1 745,16897613808;2,14%
2019-11-19;504,6;596;623;1,2346413;1,215900181;1,87%;13,48%;2019-11-19;1 743,24965918940;3,98%
2019-11-20;503;596;620;1,232604374;1,216053853;1,66%;13,08%;2019-11-20;1 729,05843120129;4,27%
2019-11-21;498,1;596;619;1,242722345;1,216394339;2,63%;13,99%;2019-11-21;1 720,10806002882;4,73%
2019-11-22;500,8;596;618;1,234025559;1,216689755;1,73%;13,66%;2019-11-22;1 724,18684580838;4,55%
2019-11-25;504;596;622;1,234126984;1,217015492;1,71%;13,49%;2019-11-25;1 742,03732955333;4,41%
2019-11-26;506,2;596;622;1,228763335;1,217424711;1,13%;14,86%;2019-11-26;1 740,99134113931;5,59%
2019-11-27;506,8;596;622;1,227308603;1,217892683;0,94%;13,61%;2019-11-27;1 737,80366243446;5,52%
2019-11-28;505,4;596;620;1,226751088;1,218332281;0,84%;15,67%;2019-11-28;1 735,30275488649;5,77%
2019-11-29;506,2;596;621;1,226787831;1,218726972;0,81%;11,26%;2019-11-29;1 730,25359027101;2,33%
2019-12-02;498,1;596;616;1,236699458;1,219143289;1,76%;13,47%;2019-12-02;1 706,81731768725;4,40%
2019-12-03;492,3;596;613;1,245175706;1,219610522;2,56%;15,34%;2019-12-03;1 697,68422302855;5,77%
2019-12-04;498,6;596;619;1,241476133;1,220015952;2,15%;13,52%;2019-12-04;1 725,59860715188;3,01%
2019-12-05;501,8;596;620;1,235552013;1,220313464;1,52%;14,15%;2019-12-05;1 723,63279394587;3,49%
2019-12-06;510,4;596;624;1,222570533;1,220470899;0,21%;15,48%;2019-12-06;1 742,60996340396;5,28%
2019-12-09;513,2;596;626;1,21979735;1,220625667;-0,08%;14,65%;2019-12-09;1 743,31158327406;5,35%
2019-12-10;512,8;596;626;1,22074883;1,220637381;0,01%;14,47%;2019-12-10;1 735,51124702043;5,41%
2019-12-11;517,6;596;627;1,211360124;1,220628551;-0,93%;11,86%;2019-12-11;1 741,62075180310;5,08%
2019-12-12;518,6;596;632;1,218665638;1,220712868;-0,20%;10,61%;2019-12-12;1 758,24245365175;3,15%
2019-12-13;513,2;596;633;1,233437256;1,220827515;1,26%;12,98%;2019-12-13;1 770,11942219139;3,93%
2019-12-16;520;596;637;1,225;1,220894982;0,41%;10,15%;2019-12-16;1 787,65654271148;2,88%
2019-12-17;519,2;596;639;1,230739599;1,221108528;0,96%;9,78%;2019-12-17;1 791,93430659316;2,64%
2019-12-18;515,6;596;638;1,237393328;1,221365924;1,60%;10,16%;2019-12-18;1 787,96086688917;2,99%
2019-12-19;515;596;638;1,238834951;1,221615435;1,72%;9,90%;2019-12-19;1 783,28568190478;3,18%
2019-12-20;521,2;596;642;1,231772832;1,221914749;0,99%;9,67%;2019-12-20;1 794,79838674579;3,38%
2019-12-23;519,4;596;642;1,236041586;1,222141034;1,39%;8,93%;2019-12-23;1 795,65750094596;2,10%
2019-12-27;517,6;596;642;1,240340031;1,222258195;1,81%;9,51%;2019-12-27;1 798,03862027577;2,38%
2019-12-30;511,2;596;635;1,242175274;1,222445726;1,97%;8,92%;2019-12-30;1 771,85046699957;2,32%
2020-01-02;523;596;644;1,231357553;1,222536675;0,88%;8,53%;2020-01-02;1 808,62654116947;1,48%
2020-01-03;517,2;596;640;1,237432328;1,222682077;1,48%;9,63%;2020-01-03;1 785,23356738758;3,16%
2020-01-07;518;596;643;1,241312741;1,222787508;1,85%;9,42%;2020-01-07;1 796,84969015206;2,49%
2020-01-08;517,8;596;643;1,241792198;1,22288626;1,89%;7,61%;2020-01-08;1 795,40751809744;1,41%
2020-01-09;522;596;646;1,237547893;1,222906587;1,46%;7,82%;2020-01-09;1 796,73478827442;1,09%
2020-01-10;520;596;645;1,240384615;1,222942987;1,74%;8,77%;2020-01-10;1 784,97170154857;1,96%
2020-01-13;520,6;596;646;1,240875912;1,222950553;1,79%;5,76%;2020-01-13;1 790,51048634834;-0,87%
2020-01-14;522,4;596;648;1,24042879;1,223020351;1,74%;4,82%;2020-01-14;1 792,90306998726;-1,61%
2020-01-15;523;596;650;1,242829828;1,223134582;1,97%;2,41%;2020-01-15;1 787,29063873659;-3,62%
2020-01-16;532,8;596;656;1,231231231;1,22321683;0,80%;0,49%;2020-01-16;1 812,29721017863;-5,31%
2020-01-17;538,2;596;662;1,230026013;1,223342503;0,67%;-0,71%;2020-01-17;1 825,94195676647;-5,93%
2020-01-20;536,6;596;662;1,233693627;1,223535928;1,02%;0,93%;2020-01-20;1 821,28976034655;-4,00%
2020-01-21;537;596;662;1,232774674;1,223709242;0,91%;3,05%;2020-01-21;1 825,61831884196;-2,92%
2020-01-22;536,4;634;659;1,228560776;1,223834507;0,47%;5,67%;2020-01-22;1 811,76040882667;-0,90%
2020-01-23;531;634;652;1,22787194;1,224014111;0,39%;7,98%;2020-01-23;1 795,42779993499;1,49%
2020-01-24;539,6;634;656;1,215715345;1,224117164;-0,84%;6,49%;2020-01-24;1 812,84614900081;0,37%
2020-01-27;526,8;634;647;1,228170084;1,224326657;0,38%;12,60%;2020-01-27;1 771,47509564036;6,62%
2020-01-28;537,2;634;644;1,198808637;1,224384568;-2,56%;9,75%;2020-01-28;1 786,35037234642;5,55%
2020-01-29;538,8;634;647;1,20081663;1,224513471;-2,37%;11,02%;2020-01-29;1 791,67200212211;6,21%
2020-01-30;534;634;643;1,20411985;1,224741873;-2,06%;11,12%;2020-01-30;1 787,95590215163;5,84%
2020-01-31;528,2;634;638;1,207875805;1,225008808;-1,71%;12,50%;2020-01-31;1 783,26321284279;6,39%
2020-02-03;532,2;634;640;1,20255543;1,22514219;-2,26%;11,61%;2020-02-03;1 782,90880791547;7,60%
2020-02-04;547,4;634;651;1,189258312;1,225165742;-3,59%;8,91%;2020-02-04;1 821,03894995370;5,55%
2020-02-05;555,6;634;657;1,1825054;1,2250183;-4,25%;8,06%;2020-02-05;1 847,35013851216;4,07%
2020-02-06;554,2;634;658;1,187297005;1,224827956;-3,75%;7,90%;2020-02-06;1 851,94515967911;3,43%
2020-02-07;553,4;634;657;1,187206361;1,224678246;-3,75%;8,24%;2020-02-07;1 849,85914820946;4,14%
2020-02-10;555,6;634;658;1,184305256;1,224569346;-4,03%;6,95%;2020-02-10;1 857,99601276624;3,43%
2020-02-11;561,2;634;667;1,18852459;1,224517649;-3,60%;6,38%;2020-02-11;1 884,12614061034;2,87%
2020-02-12;559;634;668;1,194991055;1,224420595;-2,94%;6,44%;2020-02-12;1 889,75332939969;2,21%
2020-02-13;560,6;634;668;1,19158045;1,224349927;-3,28%;6,64%;2020-02-13;1 883,02050541019;2,60%
2020-02-14;563,2;634;668;1,186079545;1,224270897;-3,82%;5,65%;2020-02-14;1 885,62273570572;2,73%
2020-02-17;564,2;634;670;1,187522155;1,22428266;-3,68%;5,21%;2020-02-17;1 888,34940545476;1,55%
2020-02-18;561,2;634;670;1,193870278;1,224336944;-3,05%;5,52%;2020-02-18;1 878,79318039168;2,41%
